Time,Label,ProcessScore,Wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20260630-11:24:00,20260630_170918_avg,68.6206,0,469.6619,472.6843,443.7178,455.762,426.7377,449.2201,461.6836,426.7953,395.5357,415.286,436.9193,424.8303,417.9018,425.5918,415.6766,423.0336,416.2474,421.8341,403.2089,408.0565,388.78,382.1179,411.1892,388.144,393.6535,381.7574,369.4852,375.1863,392.2722,377.7447,344.2298,362.3929,387.4745,357.7889,333.7656,382.2532,363.4843,351.0546,344.8663,362.8194,338.5837,359.8928,349.7444,343.8876,340.8101,334.7523,349.9007,322.1271,310.2509,339.5025,338.344,334.9318,332.6434,321.3994,335.3977,322.7953,315.6005,316.9019,347.8383,295.2463,324.8869,293.9725,314.5339,309.0819,285.4396,318.4192,306.8917,282.324,321.6778,328.8658,328.6306,312.1053,306.799,323.3702,327.1948,318.6131,289.0719,303.6813,305.8626,273.8975,304.066,327.7029,304.1688,314.4811,295.6424,290.9999,296.1134,278.5669,275.4278,304.9366,305.3103,271.8109,297.6545,282.1571,287.021,287.7092,294.1065,280.6955,298.0484,282.1138
20260630-11:25:00,20260630_172013_avg,66.1869,0,494.2156,433.7125,480.3554,433.3962,460.0398,422.8383,423.0142,437.5437,389.0697,381.8331,393.2473,409.5357,360.0553,348.4567,395.625,361.7559,361.9721,327.6379,348.224,358.4937,374.4702,335.946,383.1973,331.8045,329.1716,372.7214,342.9941,325.1193,331.4798,361.0496,361.8842,313.2274,328.0598,329.7173,306.4284,324.808,325.235,347.958,348.5855,315.9906,317.617,335.0336,308.3337,331.8074,316.8987,297.699,296.9808,345.7719,311.4972,347.6525,301.9351,317.5251,359.9955,287.4664,269.0521,334.0899,289.4274,305.3393,292.9297,310.0277,284.2826,299.8634,312.633,282.2456,288.555,295.8752,273.5583,294.5638,305.9871,295.4882,298.4035,303.8751,290.9468,319.0689,334.6755,295.4153,315.1392,300.0952,312.5281,337.2121,315.0421,267.4145,313.1537,328.8182,298.1585,322.8199,287.3094,270.24,303.3667,263.4934,294.4058,325.5773,258.9496,271.6912,276.5854,296.5134,290.1958,326.8031,317.7147,308.4121
20260630-11:26:00,20260630_173108_avg,70.7184,0,432.6562,434.6723,401.2027,427.3065,420.3008,418.4843,423.1242,413.5285,401.3071,408.2044,407.7775,405.8401,403.8809,409.5924,387.4662,396.6891,404.5215,373.9956,389.1957,379.5623,378.9918,371.4797,375.7255,391.7937,360.4852,358.8452,355.1332,380.7472,358.0683,359.7754,354.0107,346.7971,351.2524,374.1751,362.37,339.7466,351.9218,336.6069,326.3518,350.858,350.882,348.6591,333.5608,335.4175,343.0582,338.9873,331.0526,319.1224,334.6692,343.17,321.7006,338.3746,335.2304,338.8357,339.7083,324.949,316.1504,325.9183,338.8055,325.2282,323.4597,312.612,345.2589,336.159,335.0675,336.2624,331.9385,323.5666,323.4817,320.145,347.5577,327.2955,316.7938,324.3015,309.4902,331.6239,310.3796,319.947,323.9798,316.4774,312.6123,310.6871,308.9491,303.0591,303.2187,320.1285,304.5274,297.437,299.1953,313.5153,309.0134,307.4674,299.504,306.9025,295.422,298.8565,310.2054,309.3606,292.2805,293.6309
20260630-11:27:00,20260630_174203_avg,73.6436,0,428.489,423.5196,423.6637,415.4697,404.3436,418.9766,416.0877,414.1462,393.0934,404.7655,405.1524,389.4414,395.0271,391.6206,404.3718,402.6313,372.5049,402.3652,373.6828,386.0853,383.7609,366.3232,375.652,368.8322,371.8103,367.1865,372.5675,361.8254,357.903,365.6732,359.6981,358.9147,346.1813,341.3394,343.1706,340.9265,350.0155,349.7166,339.2281,349.8036,347.6552,337.3178,327.4786,344.4743,330.2871,330.2499,325.1953,319.5235,313.6657,328.5884,316.32,344.7902,311.4662,308.9347,321.4411,328.1868,315.7382,318.5839,298.8309,306.8262,302.756,295.4174,310.0307,290.8282,297.0339,302.2074,299.045,307.675,306.1131,309.8182,307.8863,310.0639,300.3985,301.9474,302.7481,299.0803,294.1081,293.8101,289.2585,298.0536,293.2683,288.0696,287.2838,282.249,298.4013,290.6433,282.5678,294.7158,283.335,276.0045,294.0154,281.1803,281.4036,284.1244,291.8935,282.4583,272.2848,285.0475,276.3685,294.0305
20260630-11:28:00,20260630_175298_avg,65.6145,0,417.0476,426.9359,397.9732,403.0079,397.6172,418.6042,413.0194,400.7349,370.9497,383.7591,373.1646,395.3421,396.7571,391.3896,359.156,324.2425,336.5444,384.2475,352.1163,343.5425,378.7638,369.8687,347.2712,339.4462,339.3179,342.4016,361.7005,340.3885,342.7432,347.3755,307.6988,336.0465,317.0254,279.3632,283.3511,298.8974,321.4916,312.7716,311.8747,338.0607,284.7829,302.6822,306.1165,287.7068,298.12,270.4209,316.7099,281.702,323.3346,288.8432,304.2038,285.4517,284.3369,274.0773,283.886,285.6903,266.785,275.9991,267.004,312.1692,272.8798,297.7873,268.9046,275.0632,248.7995,261.7084,271.1937,292.1551,269.4687,287.0819,274.3554,289.2345,261.5216,299.7745,253.1548,247.9276,240.1339,295.8948,271.1206,252.0768,276.6881,267.1292,286.923,230.3271,250.2227,246.5447,221.9331,269.8044,248.1002,263.7304,289.1011,245.3974,243.8781,252.0588,265.4912,240.3083,238.8852,265.4097,254.2069,215.1914
20260630-11:29:00,20260630_176393_avg,78.2979,0,400.5687,399.432,404.9351,394.2027,395.0102,371.3175,384.8745,389.1341,378.7461,371.2288,364.996,353.2779,358.0915,369.1978,350.6046,338.7394,339.757,344.0819,334.5628,340.8479,338.1959,339.2328,342.2041,334.7016,310.799,308.5105,315.0624,308.4983,298.6003,303.9759,301.4248,297.1426,299.0033,313.4187,300.7392,323.7996,296.6954,289.8282,291.2716,292.2755,292.4861,308.7619,274.9541,291.932,283.0571,261.8098,285.7975,289.543,264.5229,272.1514,251.6498,255.1349,278.8511,260.6606,252.0847,265.2966,255.6186,254.8154,266.7877,244.6707,246.2955,256.7959,264.6758,266.6126,244.7616,261.4377,241.6712,269.4889,236.1942,262.4385,239.8845,268.4312,252.0695,233.67,238.3255,251.8565,254.0461,240.9096,241.3533,248.3483,240.6181,224.109,228.5115,239.1407,249.0287,252.56,242.528,236.2942,240.5551,224.2437,229.1429,221.0819,215.7677,232.5278,230.3421,235.3397,233.3176,229.5613,232.622,225.6936
20260630-11:30:00,20260630_177488_avg,84.4906,0,455.4485,464.7305,445.6656,424.3136,427.0787,389.4732,415.3579,367.209,363.3499,347.1908,348.2953,346.5533,329.0883,345.1092,321.9489,317.4464,299.3569,310.7082,300.6438,291.8165,286.8336,324.017,287.5006,271.3858,278.091,283.6832,288.8835,287.4014,287.3757,270.7574,280.9765,265.7942,267.7698,263.4087,259.4437,284.7806,279.7372,282.4411,271.0039,279.0177,249.1315,279.0895,270.7374,275.5788,272.3766,256.2289,250.0247,258.8692,273.4236,274.6559,250.6164,254.9163,257.7382,261.8269,250.0513,249.2326,256.0739,266.4929,251.7273,263.9815,277.514,250.1084,262.7418,276.9564,260.1991,258.3644,278.4594,261.4112,277.7351,269.8966,260.9473,270.4712,268.6259,276.7426,258.5703,265.4085,264.2298,273.1129,253.0955,276.7694,270.4091,249.7712,279.044,290.9486,276.6954,281.6422,266.1223,245.9076,243.813,268.1507,258.3575,254.6387,264.5235,272.3971,248.4512,260.0929,282.7942,252.8562,275.395,259.7094
20260630-11:31:00,20260630_178583_avg,65.9049,0,435.2976,434.6064,426.8856,399.6645,385.3142,423.7894,407.1836,421.9366,395.8461,366.6692,408.3171,379.7231,390.041,368.1498,408.5348,357.7222,364.9884,370.5222,344.9274,369.1089,390.6626,348.1056,362.2553,300.0355,348.8859,341.191,329.1567,362.7793,333.73,334.2394,328.1864,296.7715,309.4765,347.0323,286.7119,310.1444,315.094,353.7763,333.3721,306.3592,339.8272,299.259,330.6842,284.0736,328.5206,298.8381,285.4446,299.2749,307.134,291.0132,309.4533,286.4849,307.9265,303.2054,292.354,283.8601,293.8533,300.193,327.6619,305.2145,304.7685,343.7108,293.8405,292.1789,295.2925,261.7864,271.4955,269.3282,290.2371,273.703,278.6912,295.7702,290.6119,270.2876,259.7723,293.1384,285.4338,239.4623,263.1532,271.4125,282.2362,283.9306,271.2733,276.2144,265.5715,250.8273,257.911,262.4967,260.7622,224.9612,252.4847,260.4065,253.3372,253.3367,266.6276,236.2869,225.2602,248.9274,269.4311,286.3685
20260630-11:32:00,20260630_179678_avg,86.1917,0,411.3954,402.529,382.6503,374.642,351.2493,358.0118,353.9862,346.8861,349.304,344.1067,328.0951,338.1973,328.3894,332.9207,319.9519,324.203,319.5763,320.0691,316.4477,311.8323,302.3385,300.3949,303.1927,304.3396,299.0747,304.084,297.3376,291.9024,294.1753,295.5241,294.713,302.0505,286.7201,288.8918,290.5982,287.1012,283.5062,276.7919,281.6981,277.763,273.3637,277.7798,275.6653,284.0142,283.4341,274.4292,277.3577,267.8682,274.8211,279.1781,280.9574,271.8592,281.0963,266.3217,267.2937,277.6558,282.5173,275.5387,272.1575,259.8126,260.4058,272.0051,268.9952,264.571,270.8202,270.8756,275.282,270.6333,276.5431,269.6487,268.8563,275.305,263.8921,284.8538,271.2547,271.217,271.9474,279.373,273.2779,259.893,276.4833,266.7022,269.0707,261.2541,271.1311,264.4543,268.4698,266.1802,278.271,278.4257,267.528,267.4676,264.8909,272.955,264.8663,264.2372,271.9004,263.4023,266.1113,257.5008
20260630-11:33:00,20260630_180773_avg,70.8329,0,456.9574,439.8238,409.6815,404.8797,397.665,422.4089,442.5821,427.3441,372.2629,419.9814,408.4007,365.7067,381.2573,399.3327,387.1257,354.47,380.9355,334.5777,361.1534,379.1818,358.5781,347.4984,366.3072,364.8924,367.5119,358.2221,359.1063,351.4475,342.0628,337.3569,330.4185,313.4682,315.871,324.8725,331.6202,349.0004,324.5515,339.6397,339.6251,317.9802,329.7318,315.4948,338.8071,326.9376,297.2494,317.1925,339.2217,309.44,318.0433,318.3456,292.3909,315.3258,284.3512,295.1423,320.5349,308.1568,296.724,307.4014,298.4961,298.7044,307.9122,285.5113,296.801,290.6701,270.2348,280.1538,318.6268,299.8054,272.8435,269.2287,291.3478,317.3259,289.8823,313.0829,298.0311,299.75,271.3599,306.675,286.5716,305.0177,278.5088,293.6373,295.9713,287.6256,295.8704,284.8761,278.3574,313.0123,303.7469,274.9032,295.1005,274.0714,266.6446,300.8104,257.6002,298.3023,279.5394,279.9044,289.3932,291.9181
20260630-11:34:00,20260630_181868_avg,76.7913,0,344.0956,357.3925,356.3563,350.1258,346.0274,339.2327,332.3761,324.5025,308.4457,331.0916,327.5988,329.9068,307.4263,327.4603,341.2472,317.9713,314.8297,317.3019,334.6079,299.5718,311.4653,298.9449,300.1901,304.1289,317.935,321.423,305.1383,294.6583,324.6679,291.2794,288.3375,273.8133,307.25,301.3017,315.9631,273.0841,303.1594,286.8877,293.9413,266.1115,299.3597,291.0738,281.2796,288.09,272.0248,273.5215,274.3221,258.7037,288.1111,291.4643,270.5348,281.9042,275.115,281.613,271.1903,268.4871,289.8364,277.8001,300.8769,279.4901,269.1217,293.0119,286.801,288.1824,293.595,273.7316,279.8117,279.6375,267.6678,279.1888,296.9573,285.1273,267.9558,265.793,301.1674,281.9903,275.891,279.9377,266.6637,298.2962,278.2123,297.2616,282.5662,297.3347,284.1192,290.2478,288.3366,286.8136,283.2958,276.4087,299.399,267.9234,277.3395,276.8854,280.5625,270.8875,278.4905,272.6603,256.6694,273.62
20260630-11:35:00,20260630_182963_avg,73.5023,0,440.8004,363.0651,394.7654,357.6899,368.9976,347.6074,370.9148,356.5776,338.6431,320.448,347.1835,308.7124,343.1809,390.7845,357.3571,339.0505,316.7983,270.1248,281.1567,338.664,287.0512,285.9818,295.3107,271.319,264.4621,288.9639,266.4405,267.124,263.4231,291.155,270.9245,269.6311,285.2696,265.6436,260.1754,275.4541,277.9692,256.9394,260.3549,238.4323,234.9042,271.3671,262.3316,261.2151,255.8953,249.2795,263.4246,268.0707,266.6911,242.3479,276.4466,248.8703,257.8484,249.3034,248.1897,225.0244,258.4006,308.3282,233.1026,243.4788,231.4089,230.4575,277.9359,226.2272,230.9164,204.9687,224.3643,202.1778,256.7784,307.3252,233.3308,202.8557,262.5899,224.3938,271.4155,234.1815,225.6414,235.8067,257.1679,233.6437,226.781,233.1119,207.4034,245.6549,193.9507,224.5256,251.8314,240.3789,246.2721,230.1593,258.166,251.6414,239.6818,250.15,245.276,216.7977,195.022,235.5804,237.945,250.1362
20260630-11:36:00,20260630_184058_avg,81.3559,0,426.0409,424.5475,366.0826,371.6406,368.9909,393.384,352.6612,349.3151,378.7783,344.1397,358.7376,319.8381,338.0472,310.9131,317.903,345.9687,328.8487,321.891,312.4015,318.561,324.6884,333.486,272.5842,299.5864,313.5978,307.3585,313.5386,309.3969,298.2091,292.7726,295.5731,316.5227,284.2625,293.5204,295.9474,316.8136,285.0754,304.1209,307.1804,284.7733,281.096,277.9321,277.9312,294.8394,283.6074,282.6276,259.4998,261.1096,310.7926,272.1799,261.6548,296.7558,277.3375,281.4724,269.1833,265.6456,267.5103,247.2607,267.835,273.633,298.5007,269.4279,229.7232,265.8379,311.6291,280.9043,253.3892,275.9727,254.0961,243.968,260.1561,267.1608,235.0888,246.7187,265.4549,258.5343,271.4822,245.1991,276.4576,245.4833,291.3365,236.6015,246.6134,271.0389,291.1784,269.0906,272.9646,263.9299,246.7759,255.3089,243.3719,242.0753,269.1827,244.1513,267.3715,240.7516,266.4812,253.4444,283.9899,266.0958
20260630-11:37:00,20260630_185153_avg,79.2257,0,327.1438,303.419,317.6507,339.0676,294.4021,292.6736,341.0084,294.6971,306.1569,307.0404,303.0251,261.7424,279.71,252.3388,317.7627,245.6069,251.556,248.4689,237.6401,283.1006,298.449,246.4941,229.5517,211.5075,243.0164,239.555,231.7495,244.5831,245.6618,242.6831,230.1884,215.3281,243.966,231.5881,245.3087,242.5894,204.0658,203.0178,213.8126,208.059,238.2829,230.9421,243.2449,230.9641,227.4875,244.0901,231.4871,224.4936,248.3441,225.011,217.753,208.5563,234.597,243.5148,221.4586,244.3399,188.4112,220.6808,220.6464,208.6458,261.1422,219.1168,212.8888,219.8065,184.8593,205.4858,234.5974,206.6888,202.775,238.5978,238.6182,224.1447,207.1651,210.3966,200.4034,196.8057,195.6473,202.6248,195.3282,186.1759,216.3639,216.5662,241.4772,201.2712,217.7582,218.1863,208.7477,225.9341,226.7169,219.3916,209.7884,208.3739,191.5315,201.4003,204.8399,196.6108,223.4636,236.5741,201.0324,221.4619
20260630-11:38:00,20260630_186248_avg,74.5864,0,411.8952,417.5831,418.047,410.8288,419.3883,412.023,398.9627,396.3812,398.6052,387.9842,397.4836,389.7827,386.2769,385.9739,389.3094,376.8281,372.0544,378.8956,372.5647,361.7134,360.7647,359.0655,357.3201,344.1999,340.5573,342.19,339.5154,339.4352,345.3637,338.7674,339.4652,329.4331,332.8622,338.1715,337.2509,328.3374,332.9509,344.6378,330.4232,325.6136,328.0781,328.9639,326.6923,326.5657,317.0157,318.9128,322.7356,321.3975,317.6072,318.5331,318.4439,321.8717,314.1523,315.4471,307.935,312.9361,309.9584,311.1968,308.5704,306.1854,300.4632,301.1334,304.8248,293.2006,292.3244,296.3897,297.0923,288.9587,293.0903,292.6655,279.5407,291.6177,291.988,292.0216,301.723,285.7851,288.2724,277.4479,290.4686,290.9471,290.1244,299.7639,297.9253,292.7046,289.4026,297.2322,290.053,284.2748,277.7936,284.4785,290.6163,298.6947,283.9636,277.6906,273.9192,283.336,268.099,281.181,281.8763,278.7284
20260630-11:39:00,20260630_187343_avg,82.452,0,370.2074,367.3448,357.4372,356.1523,352.6131,345.9409,349.7234,342.4601,342.006,348.2716,346.3451,337.7879,336.4551,335.6441,340.4691,331.7638,336.5236,337.086,332.3228,335.9861,329.1503,328.4369,324.0098,331.5947,322.7312,326.4978,323.5724,318.2092,319.0539,326.6431,320.4185,314.0688,318.7197,315.6868,330.3025,315.4512,311.5086,318.3161,303.095,310.5144,317.7953,307.6288,299.6295,304.515,311.6561,306.0671,299.9087,299.7359,299.4689,302.6945,306.1954,304.2299,300.9451,292.5078,291.9062,299.4291,290.7042,295.074,296.9121,290.2042,290.3063,294.0036,296.292,298.4448,296.2271,293.7027,289.9671,288.4227,290.7648,294.7107,294.3592,283.7475,289.4959,298.2142,293.3913,286.9758,303.5241,293.2786,295.2328,295.4676,292.3075,290.9296,303.5326,298.8635,298.2774,297.4109,290.7336,300.8612,291.8164,296.9016,288.6989,287.1072,297.5214,292.7376,287.7062,298.8093,305.7535,302.6172,295.4677,296.6243
20260630-11:40:00,20260630_188438_avg,78.5814,0,420.8303,425.3872,409.4158,385.9739,390.4466,356.4583,380.2343,361.1104,395.4277,329.5019,333.1489,345.4286,342.0967,360.914,321.6116,341.0008,342.1453,333.427,307.9638,338.978,334.5353,323.9106,316.6828,315.4005,309.6762,318.3796,308.6345,295.2331,291.4367,294.6856,307.5031,303.332,306.116,309.5869,293.3881,322.2495,297.7216,295.1392,307.7023,275.1116,289.5416,314.1181,275.9786,315.6856,320.9994,294.5305,303.5456,314.8552,292.4316,310.775,288.9554,291.3119,286.4506,302.0187,313.013,293.867,278.2832,280.5257,300.784,320.6749,300.0862,288.8856,304.7329,290.4681,288.3573,280.1283,313.1129,257.9427,304.5735,287.0135,287.8622,317.3712,283.9267,284.5958,292.4843,300.307,288.5776,272.9841,283.0824,313.2603,296.5697,301.9584,292.1034,286.602,319.2648,293.1798,289.5497,310.9475,285.4017,287.0051,295.246,294.8724,298.2421,323.5678,298.7782,260.5971,298.1143,293.8444,293.7039,296.3429
20260630-11:41:00,20260630_189533_avg,77.5565,0,396.5309,415.1576,391.055,391.9231,408.9925,395.2758,392.4681,350.5236,404.5186,351.6744,391.5569,379.5219,368.5784,341.7885,354.3657,340.7605,345.3046,337.3598,305.1468,352.7352,330.0767,320.3526,315.9738,327.6745,304.4545,279.5367,319.5155,318.4678,304.1038,286.1127,303.4035,275.812,280.3765,282.4329,305.8119,284.1433,280.6304,317.2931,289.5197,287.4379,274.2469,268.9153,241.7086,291.0504,281.2584,269.8292,269.2709,282.191,244.2054,258.7519,249.0181,295.0065,279.768,229.4187,239.8196,261.422,255.3242,241.0112,293.126,266.2871,268.3771,249.0609,271.3375,253.0578,254.1045,267.9876,231.3547,282.7774,259.4074,276.5101,237.9217,239.7296,235.2127,257.272,253.5831,244.2949,234.6749,229.8233,248.6509,241.1174,236.7492,271.8944,244.8084,265.7687,235.8891,247.6122,241.9767,214.7395,264.3535,238.4365,251.9486,227.1487,235.9939,224.1099,257.4656,242.0894,242.5575,258.1502,254.5732,248.001
20260630-11:42:00,20260630_190628_avg,76.1183,0,447.0309,399.9154,428.2523,411.2469,428.0578,397.5684,363.4923,379.4855,327.7856,328.8232,347.2483,291.3634,326.8115,301.3626,317.7327,289.0104,313.4345,300.4958,323.0174,291.0323,271.4516,277.6559,252.1172,282.9326,283.0271,316.7419,252.5928,256.5632,247.6429,260.5014,261.3274,250.3885,270.6699,235.0333,264.7688,254.2067,241.766,234.3559,287.1384,222.0049,242.9735,221.4038,270.6449,252.2539,220.8243,243.8531,238.452,222.8845,247.8028,240.3612,236.8203,231.6621,240.9441,236.9398,233.5654,219.7432,265.7751,211.6155,240.7146,225.8823,266.7904,214.1141,217.2409,212.3802,237.61,203.8238,221.0985,187.6715,234.4137,219.3145,199.3056,249.5151,201.7331,242.65,212.4981,257.305,239.8926,204.6284,205.8422,235.3176,217.6732,219.0193,247.007,206.7483,222.9711,239.7113,236.613,217.3398,214.6874,186.0513,199.54,226.7408,217.89,222.2927,241.5712,197.9607,217.0702,225.8368,208.6419,251.2044
20260630-11:43:00,20260630_191723_avg,84.1599,0,381.3329,375.7096,367.3405,356.7809,343.6486,341.4707,340.7236,335.9042,326.8128,331.2809,325.6655,320.4605,320.9566,314.5047,311.5073,310.7407,310.8235,307.7992,302.6224,300.289,298.492,291.9653,293.4956,288.4688,288.4246,285.2165,284.6498,281.899,273.5337,278.2512,277.3897,275.2514,272.4555,274.348,270.0755,268.7984,268.5412,265.7267,261.7885,257.3299,259.9926,261.2361,257.7667,258.9224,256.4653,257.668,253.4045,253.919,253.0038,254.0578,246.6471,248.276,250.0545,250.6307,247.1866,245.333,246.7053,246.207,243.0254,243.7454,244.8124,245.6183,242.6903,240.6912,239.9251,240.6123,238.721,238.8246,235.8058,240.0844,234.6915,235.6705,236.3025,239.7038,234.4117,233.5181,233.3605,237.4472,228.0399,231.3378,238.5349,233.867,230.1042,231.9304,231.8348,233.0999,234.8065,231.5797,229.4165,231.8188,228.5437,227.6005,225.8727,226.014,227.1199,226.3121,229.0935,225.8103,221.6613,225.6931
20260630-11:44:00,20260630_192818_avg,63.782,0,416.8056,393.7398,409.1712,393.1685,370.0743,413.964,399.1816,377.0877,389.3559,382.2758,362.1375,382.2962,364.2036,354.6787,336.8212,364.4565,384.1459,352.5762,425.9639,385.7052,393.6382,379.899,402.9682,339.4729,296.3881,344.558,366.8264,356.1449,358.0226,381.6149,358.8068,367.8725,326.505,322.3022,385.312,349.3825,331.9653,331.5631,330.4499,328.5502,314.5464,308.8477,338.7687,328.6891,367.7036,347.7088,346.0665,321.3663,334.8203,344.9394,352.0472,331.8194,358.0661,331.7238,348.9114,317.6834,285.5778,333.3252,343.0965,338.7396,334.4129,315.7194,304.4635,335.895,332.6522,309.2986,348.3209,301.5672,308.5815,360.651,342.712,314.0238,329.1979,326.106,258.0935,301.1087,320.9998,313.5885,327.4074,347.6683,313.1484,295.2991,327.0285,311.0145,314.2103,310.1839,368.6949,262.7461,305.2854,313.4473,294.4121,333.0558,330.3418,309.559,303.825,307.1355,306.9973,307.414,304.7435,315.0616
20260630-11:45:00,20260630_193913_avg,81.7948,0,403.2886,363.5971,362.6735,360.7881,328.2598,330.0062,335.3452,364.5829,330.1832,342.9152,334.9713,321.7995,302.3891,324.5431,290.6738,325.7694,306.1364,268.9206,294.6077,304.339,291.1683,300.4987,279.2308,271.5224,284.4527,283.6538,277.0229,294.2568,267.0505,279.3601,274.5641,253.0167,254.1979,268.7417,291.1083,272.4694,242.884,224.5536,269.9465,258.4848,272.2444,246.3623,260.1475,265.0353,248.1823,247.397,251.9012,257.2628,249.5925,260.7935,242.5227,231.2373,270.8063,238.7308,238.5818,244.1582,245.2761,239.2886,243.3643,242.7085,244.9725,213.8168,265.1451,240.186,248.8154,224.7484,235.6009,232.9714,258.8933,233.7075,249.9287,232.6367,234.9096,237.2962,255.7849,216.995,223.8418,215.9965,226.305,229.4922,219.53,230.0534,214.2472,226.1598,252.9354,242.9759,240.0734,225.293,218.4986,223.0189,236.039,246.7996,246.8669,243.1989,226.1707,235.079,230.4894,231.5726,258.4503,211.8043
20260630-11:46:00,20260630_195008_avg,70.1618,0,456.8802,429.283,374.7979,375.2017,331.9023,334.3982,381.9403,325.6636,287.9423,311.9176,269.7363,266.9014,264.6933,273.0564,299.9062,287.0918,281.6145,240.4,249.6628,265.087,241.3114,246.5504,260.5139,239.9118,250.9126,280.3076,237.7659,267.096,251.175,202.9897,209.978,214.8465,213.14,229.6139,244.7998,258.5816,235.8904,217.7156,179.2853,228.1574,226.4945,229.5378,273.2951,252.8956,241.9858,201.3863,211.3918,220.7261,204.8045,233.9605,230.4726,197.0497,249.5368,224.2452,182.0145,220.5938,228.2252,244.1408,213.9858,240.8403,226.1239,191.586,189.3345,247.8172,249.57,229.534,256.5979,246.5506,238.0218,201.3558,262.2435,234.7676,213.5675,207.085,228.3906,184.0052,238.5703,200.4829,230.9297,210.338,216.1965,204.7838,218.4118,265.5248,253.8081,229.9668,221.1006,240.9884,247.4319,202.1735,219.352,179.0449,246.7015,268.2429,222.4042,171.5011,234.3094,199.3522,204.7772,234.3657
20260630-11:47:00,20260630_196103_avg,86.636,0,506.0634,464.4443,466.3691,398.6501,401.8275,386.9419,383.9827,377.8515,374.3342,343.7748,350.2626,337.8537,308.4972,343.5863,298.7223,314.4898,308.8352,302.5938,289.1228,300.2008,268.6478,282.3143,273.1771,268.7332,278.6281,283.4369,264.484,275.1659,264.5453,251.6334,257.1263,254.9298,248.7479,260.311,256.7239,234.3635,232.5322,255.5382,240.2537,252.3456,257.1329,232.7069,230.481,265.675,249.9034,240.5851,234.2899,238.9087,230.8026,254.6212,235.2571,256.795,239.4205,231.9291,239.043,213.5925,242.5749,242.0194,253.5578,222.2028,257.5118,253.584,258.5943,243.4988,255.8414,227.0586,252.3106,235.0829,224.8292,230.8501,243.8261,234.1028,247.8621,222.4265,218.5684,258.8942,253.2763,230.4642,242.362,253.9781,246.8057,243.4437,254.1801,232.8243,241.4282,240.6541,237.5077,235.9704,241.1587,240.5635,227.8985,249.2048,228.5333,237.2432,236.309,243.8535,215.1847,250.0554,231.959,253.9914
20260630-11:48:00,20260630_197198_avg,73.2896,0,501.7958,470.7685,452.4377,440.9137,433.6794,423.839,426.765,426.675,398.359,395.3606,383.2605,412.7819,391.012,388.3257,366.0469,375.3107,376.5332,365.2989,374.9696,383.8744,348.3141,344.4831,342.9553,364.7649,356.4433,342.1368,341.3308,330.451,345.0683,330.2408,329.2945,335.869,325.9995,323.6545,324.2943,330.366,337.1759,325.0889,325.7702,314.4118,308.0439,320.3058,314.3379,297.4174,307.2486,308.7227,303.5915,322.5424,311.8492,320.03,308.3977,306.0344,295.4362,304.4112,304.0405,290.0156,297.9501,299.8652,306.9901,307.3196,296.8647,307.2126,300.7097,274.0233,297.6972,313.2411,285.8863,303.7487,318.4249,295.2135,302.8526,289.9589,319.1108,302.1915,303.5263,316.5353,309.6768,294.4225,296.6687,307.9628,296.7951,281.8922,302.2651,287.9709,318.5416,304.075,293.1329,294.9548,282.8886,290.4577,311.1653,322.9212,307.6614,299.2056,295.4877,289.9296,319.5032,296.8282,319.3341,311.8087
20260630-11:49:00,20260630_198293_avg,65.2783,0,485.3699,478.6019,455.2522,444.0255,411.8939,427.9449,431.6945,425.749,426.8979,438.0078,427.3534,410.2837,387.0064,393.7819,397.4239,402.6123,387.9372,377.8115,371.1039,360.9417,381.8909,359.0165,364.3519,371.9873,354.0317,380.063,383.7031,360.0736,359.6616,373.5351,350.6161,347.287,377.8612,370.5582,363.7744,367.0556,316.9875,370.0687,352.1709,360.4481,348.2076,340.7207,333.4989,342.3015,329.2819,347.0397,304.7228,320.3234,361.4588,315.6682,320.5025,308.3145,326.9685,307.7706,315.4516,331.1719,304.2164,327.4991,326.7694,329.3671,313.0229,363.1265,325.8004,312.6066,291.6488,303.4655,327.6244,331.295,326.481,314.0491,279.346,307.2501,277.7518,272.7933,300.4818,304.3227,309.767,302.2147,301.9625,276.0691,289.8152,265.8239,256.8228,301.4244,275.9313,302.0397,305.1613,275.8052,295.0363,273.5579,253.1832,284.9776,274.3698,274.0989,313.2722,254.5761,285.3665,261.7953,292.492,281.6227
